
param x:=
1 0.01
2 0.05
3 0.02
4 0.01;

param D : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 :=
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2 32 22 12 42 47 52 57 62 67 72 77 82 87 92 97 102 97 92 87 82 77 72 67 62
3 35 25 15 45 50 55 60 65 70 75 80 85 90 95 100 105 100 95 90 85 80 75 70 65
4 38 28 18 48 53 58 63 68 73 78 83 88 93 98 103 108 103 98 93 88 83 78 73 68;


param Pmax:=
G1 500 
G2 200
G3 150;

param Pmin:=
G1 50 
G2 100 
G3 50;

param a:=
G1 7 
G2 5
G3 7;

param b:=
G1 50
G2 100
G3 150;

param SD:=
G1 200 
G2 750
G3 200;

param SU:=
G1 300
G2 100
G3 300;

param Tup:=
G1 1
G2 2
G3 1;

param Tdn:=
G1 1
G2 2
G3 1;

param Lmax:=
1 250
2 150
3 100
4 150;

# Define the starting and ending buses of each line
param: From To :=
1 1 2
2 1 3
3 2 4
4 3 4;
